# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Grupo principal de canais da sessão (Agrupamento de canais padrão),Origem / mídia da sessão,Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Direct,(direct) / (none),47,16,0.3404255319148936,9.787234042553191,4.638297872340425,218,3,0.06382978723404255,0
Organic Search,google / organic,27,14,0.5185185185185185,33,6.222222222222222,168,7,0.18518518518518517,0
Organic Social,eventsmanager.facebook.com / referral,9,5,0.5555555555555556,8.777777777777779,5.888888888888889,53,0,0,0
AI Assistant,chatgpt.com / ai-assistant,8,5,0.625,35.625,6.5,52,7,0.625,0
Organic Social,facebook.com / referral,4,4,1,4.5,5,20,0,0,0
Organic Search,yahoo / organic,2,2,1,43,8.5,17,0,0,0
Unassigned,(not set),2,0,0,6,3.5,7,0,0,0
Organic Social,m.facebook.com / referral,1,1,1,0,5,5,0,0,0
Referral,l.wl.co / referral,1,1,1,39,6,6,0,0,0
