# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Grupo principal de canais da sessão (Agrupamento de canais padrão),Campanha da sessão,Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Direct,(direct),47,16,0.3404255319148936,9.787234042553191,4.638297872340425,218,3,0.06382978723404255,0
Organic Search,(organic),29,16,0.5517241379310345,33.689655172413794,6.379310344827586,185,7,0.1724137931034483,0
Organic Social,(referral),14,10,0.7142857142857143,6.928571428571429,5.571428571428571,78,0,0,0
AI Assistant,(ai-assistant),8,5,0.625,35.625,6.5,52,7,0.625,0
Unassigned,(not set),2,0,0,6,3.5,7,0,0,0
Referral,(referral),1,1,1,39,6,6,0,0,0
