# ----------------------------------------
# Detalhes demográficos: País
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
País,Usuários ativos,Novos usuários,Sessões engajadas,Taxa de engajamento,Sessões engajadas por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Taxa de eventos principais do usuário,Receita total
United States,55,55,41,0.5256410256410257,0.7454545454545455,26.10909090909091,424,14,0.2,0
France,3,3,0,0,0,0,12,0,0,0
Brazil,2,2,2,0.5,1,26,16,0,0,0
Germany,2,2,0,0,0,0,7,0,0,0
United Kingdom,2,2,2,0.4,1,60.5,23,1,0.5,0
Ireland,1,1,1,1,1,1,6,0,0,0
Mexico,1,1,1,0.16666666666666666,1,246,48,2,1,0
South Korea,1,1,0,0,0,7,5,0,0,0
Sweden,1,1,1,1,1,7,5,0,0,0
