# ----------------------------------------
# Aquisição de leads: Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão)
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Novos leads,Leads qualificados,Leads convertidos,Taxa de eventos principais do usuário
AI Assistant,0,0,0,0.8333333333333334
Direct,0,0,0,0.08333333333333333
Organic Search,0,0,0,0.2631578947368421
