# ----------------------------------------
# Aquisição de usuários: Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão)
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Total de usuários,Novos usuários,Usuários recorrentes,Tempo médio de engajamento por usuário ativo,Sessões engajadas por usuário ativo,Contagem de eventos,Eventos principais,Taxa de eventos principais do usuário
Direct,36,36,4,13.11111111111111,0.4444444444444444,222,3,0.08333333333333333
Organic Search,19,19,4,51.421052631578945,0.8421052631578947,185,7,0.2631578947368421
AI Assistant,6,6,1,47.5,0.8333333333333334,55,7,0.8333333333333334
Organic Social,6,6,1,16.166666666666668,1.6666666666666667,78,0,0
Referral,1,1,0,39,1,6,0,0
